id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-11-20 16:04:42,"{""short_code"":""d1hixo"",""original_url"":""https://hackstack.io/vivid/island/1""}"
2,2,45,created,2025-12-08 08:33:45,"{""short_code"":""8qyY0V"",""original_url"":""https://relay.cloud/ivory/orbit/2""}"
3,3,201,created,2025-03-06 22:41:53,"{""short_code"":""PhuYte"",""original_url"":""https://seeded.app/forest/meadow/3""}"
4,4,73,created,2025-03-08 08:34:55,"{""short_code"":""Wxz5xV"",""original_url"":""https://acme.dev/jade/engine/4""}"
5,5,199,created,2025-01-08 02:47:18,"{""short_code"":""ZP4ONl"",""original_url"":""https://hackstack.io/navy/trail/5""}"
6,6,215,created,2025-09-11 13:19:41,"{""short_code"":""R4sdJX"",""original_url"":""https://opswise.net/warm/canyon/6""}"
7,7,44,created,2026-01-18 17:21:20,"{""short_code"":""RC3FHS"",""original_url"":""https://seeded.app/opal/valley/7""}"
8,8,225,created,2026-01-08 17:59:33,"{""short_code"":""lboudL"",""original_url"":""https://hackstack.io/silver/lagoon/8""}"
9,9,310,created,2026-02-04 18:39:27,"{""short_code"":""zYwFAR"",""original_url"":""https://example.com/rapid/kernel/9""}"
10,10,346,created,2025-10-04 18:50:49,"{""short_code"":""dgq3FF"",""original_url"":""https://seeded.app/urban/pioneer/10""}"
11,11,248,created,2025-07-10 03:22:08,"{""short_code"":""IGMyLk"",""original_url"":""https://opswise.net/proud/beacon/11""}"
12,12,61,created,2025-10-01 18:29:27,"{""short_code"":""hyxlfv"",""original_url"":""https://relay.cloud/amber/trail/12""}"
13,13,370,created,2025-04-24 10:20:07,"{""short_code"":""2pMOIq"",""original_url"":""https://hackstack.io/cobalt/quartz/13""}"
14,14,334,created,2025-07-13 01:30:45,"{""short_code"":""9TgVuu"",""original_url"":""https://relay.cloud/jade/harvest/14""}"
15,15,203,created,2025-03-28 03:10:29,"{""short_code"":""QpCbxT"",""original_url"":""https://opswise.net/harbor/yard/15""}"
16,16,134,created,2025-01-05 13:55:21,"{""short_code"":""2hCoWl"",""original_url"":""https://seeded.app/ember/signal/16""}"
17,17,81,created,2025-04-12 06:19:04,"{""short_code"":""dRIn8F"",""original_url"":""https://acme.dev/proud/valley/17""}"
18,18,93,created,2025-10-08 17:17:29,"{""short_code"":""O4yC9y"",""original_url"":""https://relay.cloud/vivid/harvest/18""}"
19,19,274,created,2025-06-05 18:49:00,"{""short_code"":""nN5z5W"",""original_url"":""https://example.com/proud/quartz/19""}"
20,20,323,created,2025-04-09 12:08:42,"{""short_code"":""on0UFU"",""original_url"":""https://opswise.net/lively/quartz/20""}"
21,21,283,created,2025-11-02 16:10:18,"{""short_code"":""yNQjYR"",""original_url"":""https://opswise.net/warm/lagoon/21""}"
22,22,68,created,2025-12-10 00:47:34,"{""short_code"":""C3Uq1p"",""original_url"":""https://acme.dev/urban/quartz/22""}"
23,23,367,created,2025-02-23 07:59:04,"{""short_code"":""fniLbQ"",""original_url"":""https://seeded.app/forest/meadow/23""}"
24,24,41,created,2025-03-09 19:04:23,"{""short_code"":""L5SO8J"",""original_url"":""https://seeded.app/calm/quartz/24""}"
25,25,7,created,2025-11-23 13:03:26,"{""short_code"":""OtIJot"",""original_url"":""https://opswise.net/navy/window/25""}"
26,26,20,created,2025-03-11 23:28:33,"{""short_code"":""7nbcfJ"",""original_url"":""https://hackstack.io/ember/pioneer/26""}"
27,27,284,created,2025-05-04 09:19:12,"{""short_code"":""NUTxEZ"",""original_url"":""https://acme.dev/navy/orbit/27""}"
28,28,146,created,2026-01-26 22:30:44,"{""short_code"":""ifMxzy"",""original_url"":""https://hackstack.io/clear/signal/28""}"
29,29,239,created,2025-01-18 00:01:37,"{""short_code"":""QimVrS"",""original_url"":""https://relay.cloud/clear/orbit/29""}"
30,30,202,created,2025-10-09 18:28:40,"{""short_code"":""fL7ndH"",""original_url"":""https://opswise.net/opal/delta/30""}"
31,31,170,created,2025-07-31 19:11:31,"{""short_code"":""jWJgdc"",""original_url"":""https://relay.cloud/opal/network/31""}"
32,32,239,created,2025-08-02 08:28:20,"{""short_code"":""4bGCbw"",""original_url"":""https://acme.dev/quiet/river/32""}"
33,33,81,created,2025-12-21 18:12:52,"{""short_code"":""317pQY"",""original_url"":""https://example.com/ember/network/33""}"
34,34,31,created,2025-12-17 19:52:06,"{""short_code"":""QTn1GV"",""original_url"":""https://opswise.net/jade/network/34""}"
35,35,300,created,2025-11-01 22:15:38,"{""short_code"":""R6ThG2"",""original_url"":""https://seeded.app/brisk/field/35""}"
36,36,243,created,2025-06-17 06:08:54,"{""short_code"":""DEIZ07"",""original_url"":""https://relay.cloud/keen/kernel/36""}"
37,37,85,created,2026-01-02 03:05:33,"{""short_code"":""uuYu4f"",""original_url"":""https://seeded.app/quiet/canyon/37""}"
38,38,320,created,2026-01-03 09:20:04,"{""short_code"":""MOQJVM"",""original_url"":""https://opswise.net/keen/signal/38""}"
39,39,251,created,2025-10-08 00:16:46,"{""short_code"":""oIAjdY"",""original_url"":""https://seeded.app/ember/canyon/39""}"
40,40,258,created,2025-07-12 09:41:13,"{""short_code"":""UgLwUq"",""original_url"":""https://hackstack.io/quiet/journey/40""}"
41,41,147,created,2025-09-15 11:37:34,"{""short_code"":""5c2HMh"",""original_url"":""https://hackstack.io/urban/lagoon/41""}"
42,42,1,created,2025-12-27 03:28:47,"{""short_code"":""Q2WRZU"",""original_url"":""https://example.com/brisk/pioneer/42""}"
43,43,29,created,2025-06-22 08:26:33,"{""short_code"":""TcPRG5"",""original_url"":""https://seeded.app/clear/signal/43""}"
44,44,198,created,2025-09-01 10:52:46,"{""short_code"":""LIOy2E"",""original_url"":""https://hackstack.io/proud/river/44""}"
45,45,33,created,2025-04-14 17:00:10,"{""short_code"":""nysBeM"",""original_url"":""https://opswise.net/tidy/canyon/45""}"
46,46,344,created,2025-08-04 23:38:49,"{""short_code"":""OEDaqj"",""original_url"":""https://acme.dev/warm/garden/46""}"
47,47,56,created,2025-01-31 23:24:11,"{""short_code"":""lz8teU"",""original_url"":""https://example.com/young/window/47""}"
48,48,257,created,2026-01-15 15:46:46,"{""short_code"":""1wAmbi"",""original_url"":""https://example.com/keen/field/48""}"
49,49,114,created,2025-11-19 22:06:18,"{""short_code"":""Z8gZpa"",""original_url"":""https://seeded.app/ivory/orbit/49""}"
50,50,189,created,2026-01-05 05:28:49,"{""short_code"":""nwvyLy"",""original_url"":""https://seeded.app/warm/yard/50""}"
51,51,385,created,2025-11-16 08:10:22,"{""short_code"":""ofiOjz"",""original_url"":""https://hackstack.io/amber/river/51""}"
52,52,282,created,2025-08-01 02:21:34,"{""short_code"":""xenohV"",""original_url"":""https://opswise.net/amber/anchor/52""}"
53,53,150,created,2026-01-21 01:17:45,"{""short_code"":""GVousx"",""original_url"":""https://seeded.app/dawn/uplink/53""}"
54,54,53,created,2025-11-14 08:02:53,"{""short_code"":""glMxVP"",""original_url"":""https://acme.dev/young/quartz/54""}"
55,55,313,created,2025-04-17 06:42:07,"{""short_code"":""VNm5ok"",""original_url"":""https://seeded.app/keen/lagoon/55""}"
56,56,341,created,2025-12-14 13:20:11,"{""short_code"":""7jaWI2"",""original_url"":""https://opswise.net/opal/field/56""}"
57,57,197,created,2025-12-23 21:39:21,"{""short_code"":""ZuIxdc"",""original_url"":""https://relay.cloud/quiet/canyon/57""}"
58,58,357,created,2025-04-18 18:36:30,"{""short_code"":""PbKm2Y"",""original_url"":""https://acme.dev/jade/beacon/58""}"
59,59,280,created,2025-12-05 04:49:05,"{""short_code"":""aYsZxL"",""original_url"":""https://hackstack.io/keen/delta/59""}"
60,60,330,created,2025-08-23 21:52:42,"{""short_code"":""nx2c4n"",""original_url"":""https://hackstack.io/cobalt/signal/60""}"
61,61,358,created,2025-12-27 23:37:54,"{""short_code"":""UtAJuM"",""original_url"":""https://hackstack.io/amber/uplink/61""}"
62,62,339,created,2025-02-08 01:23:35,"{""short_code"":""nqpFNn"",""original_url"":""https://opswise.net/jade/window/62""}"
63,63,37,created,2025-03-03 17:48:35,"{""short_code"":""Mip3Pn"",""original_url"":""https://seeded.app/dawn/canyon/63""}"
64,64,37,created,2025-04-24 22:39:51,"{""short_code"":""7Y9C7Y"",""original_url"":""https://hackstack.io/amber/journey/64""}"
